Portfolio,Ticker,Weight
Equal Weighted Portfolio,AAPL,0.2
Equal Weighted Portfolio,GOOG,0.2
Equal Weighted Portfolio,NVDA,0.2
Equal Weighted Portfolio,MSFT,0.2
Equal Weighted Portfolio,AMZN,0.2
Long-only Global Minimum Variance Portfolio,AAPL,0.3001744346549885
Long-only Global Minimum Variance Portfolio,GOOG,0.2633776172043063
Long-only Global Minimum Variance Portfolio,NVDA,0.0
Long-only Global Minimum Variance Portfolio,MSFT,0.355830934209375
Long-only Global Minimum Variance Portfolio,AMZN,0.08061701393133026
Long-only Tangency Portfolio,AAPL,0.38715755203785496
Long-only Tangency Portfolio,GOOG,0.0
Long-only Tangency Portfolio,NVDA,0.5752647323348705
Long-only Tangency Portfolio,MSFT,0.037577715627274653
Long-only Tangency Portfolio,AMZN,0.0
