Portfolio,Peak Date,Trough Date,Maximum Drawdown,Ticker,Weight,Asset Cumulative Return During Drawdown,Weighted Asset Return Contribution,Asset Drawdown Loss Contribution,Drawdown Contribution Percentage
Equal Weighted Portfolio,2025-01-06,2025-04-08,-0.26081019382577153,AAPL,0.2,-0.2907232765816937,-0.05814465531633875,0.05814465531633875,0.23003289915728753
Equal Weighted Portfolio,2025-01-06,2025-04-08,-0.26081019382577153,GOOG,0.2,-0.24016476216502436,-0.04803295243300487,0.04803295243300487,0.19002880390527252
Equal Weighted Portfolio,2025-01-06,2025-04-08,-0.26081019382577153,NVDA,0.2,-0.33336432508160496,-0.066672865016321,0.066672865016321,0.26377235106795965
Equal Weighted Portfolio,2025-01-06,2025-04-08,-0.26081019382577153,MSFT,0.2,-0.1608104261404928,-0.03216208522809856,0.03216208522809856,0.12724020234899108
Equal Weighted Portfolio,2025-01-06,2025-04-08,-0.26081019382577153,AMZN,0.2,-0.23877067753405878,-0.04775413550681176,0.04775413550681176,0.18892574352048938
Long-only Global Minimum Variance Portfolio,2025-01-28,2025-04-08,-0.24369772053537586,AAPL,0.3001744346549885,-0.24906652122317674,-0.07476340219965177,0.07476340219965177,0.33113519965203775
Long-only Global Minimum Variance Portfolio,2025-01-28,2025-04-08,-0.24369772053537586,GOOG,0.2633776172043063,-0.2426744119815578,-0.06391500838415885,0.06391500838415885,0.2830864893699111
Long-only Global Minimum Variance Portfolio,2025-01-28,2025-04-08,-0.24369772053537586,NVDA,0.0,-0.18671795155364657,-0.0,0.0,0.0
Long-only Global Minimum Variance Portfolio,2025-01-28,2025-04-08,-0.24369772053537586,MSFT,0.355830934209375,-0.18245833320924798,-0.06492431916013214,0.06492431916013214,0.2875568360299033
Long-only Global Minimum Variance Portfolio,2025-01-28,2025-04-08,-0.24369772053537586,AMZN,0.0806170139313302,-0.27508280949166397,-0.022176354685058925,0.022176354685058925,0.09822147494814774
Long-only Tangency Portfolio,2025-01-06,2025-04-08,-0.31676559871202836,AAPL,0.3871575520378549,-0.2907232765816937,-0.11255571208179277,0.11255571208179277,0.36264853629974764
Long-only Tangency Portfolio,2025-01-06,2025-04-08,-0.31676559871202836,GOOG,0.0,-0.24016476216502436,-0.0,0.0,0.0
Long-only Tangency Portfolio,2025-01-06,2025-04-08,-0.31676559871202836,NVDA,0.5752647323348705,-0.33336432508160496,-0.19177273923806423,0.19177273923806423,0.6178815974824887
Long-only Tangency Portfolio,2025-01-06,2025-04-08,-0.31676559871202836,MSFT,0.0375777156272746,-0.1608104261404928,-0.006042888463408284,0.006042888463408284,0.019469866217763792
Long-only Tangency Portfolio,2025-01-06,2025-04-08,-0.31676559871202836,AMZN,0.0,-0.23877067753405878,-0.0,0.0,0.0
