Portfolio,Ticker,Weight,Asset Daily Volatility,Asset Annualized Volatility,Marginal Contribution to Risk,Component Contribution to Risk,Percentage Contribution to Risk,Weight Minus Risk Contribution,Risk Contribution Minus Weight,Portfolio Daily Volatility,Portfolio Annualized Volatility
Equal Weighted Portfolio,AAPL,0.2,0.014752023219540672,0.2341811086437301,0.008897048867879374,0.0017794097735758748,0.15030880158590695,0.04969119841409306,-0.04969119841409306,0.01183836046060734,0.1879281462570425
Equal Weighted Portfolio,GOOG,0.2,0.01852725675164936,0.2941110830466395,0.011724845719242791,0.0023449691438485586,0.19808225570183857,0.001917744298161439,-0.001917744298161439,0.01183836046060734,0.1879281462570425
Equal Weighted Portfolio,NVDA,0.2,0.021461067077999493,0.3406838781507737,0.015592476930981,0.0031184953861962002,0.2634229120301861,-0.06342291203018607,0.06342291203018607,0.01183836046060734,0.1879281462570425
Equal Weighted Portfolio,MSFT,0.2,0.014848771950808831,0.23571694713930952,0.008547162772646975,0.001709432554529395,0.14439774495949892,0.05560225504050109,-0.05560225504050109,0.01183836046060734,0.1879281462570425
Equal Weighted Portfolio,AMZN,0.2,0.01938256328166102,0.3076886532854822,0.014430268012286552,0.0028860536024573106,0.24378828572256941,-0.0437882857225694,0.0437882857225694,0.01183836046060734,0.1879281462570425
Long-only Global Minimum Variance Portfolio,AAPL,0.3001741435819549,0.014752023219540672,0.2341811086437301,0.01011169796303488,0.003035270276213393,0.2812003036495041,0.018973839932450776,-0.018973839932450776,0.010793979369227989,0.17134911040643458
Long-only Global Minimum Variance Portfolio,GOOG,0.2633771872349444,0.01852725675164936,0.2941110830466395,0.012807149118404616,0.003373110911303906,0.31249929205165405,-0.049122104816709644,0.049122104816709644,0.010793979369227989,0.17134911040643458
Long-only Global Minimum Variance Portfolio,NVDA,0.0,0.021461067077999493,0.3406838781507737,0.010130817883710503,0.0,0.0,0.0,0.0,0.010793979369227989,0.17134911040643458
Long-only Global Minimum Variance Portfolio,MSFT,0.3558316165780119,0.014848771950808831,0.23571694713930952,0.00961171853119712,0.003420153343048705,0.3168575023219933,0.0389741142560186,-0.0389741142560186,0.010793979369227989,0.17134911040643458
Long-only Global Minimum Variance Portfolio,AMZN,0.0806170526050887,0.01938256328166102,0.3076886532854822,0.01197569009861125,0.0009654448386619829,0.0894429019768484,-0.008825849371759703,0.008825849371759703,0.010793979369227989,0.17134911040643458
Long-only Tangency Portfolio,AAPL,0.3871567990216301,0.014752023219540672,0.2341811086437301,0.008895297230083268,0.003443874801945011,0.2270189766832124,0.1601378223384177,-0.1601378223384177,0.015169986457787072,0.2408160693571334
Long-only Tangency Portfolio,GOOG,0.0,0.01852725675164936,0.2941110830466395,0.006106697860752017,0.0,0.0,0.0,0.0,0.015169986457787072,0.2408160693571334
Long-only Tangency Portfolio,NVDA,0.5752646935444293,0.021461067077999493,0.3406838781507737,0.019974557559096526,0.011490657732919228,0.7574599861966806,-0.18219529265225132,0.18219529265225132,0.015169986457787072,0.2408160693571334
Long-only Tangency Portfolio,MSFT,0.0375785074339406,0.014848771950808831,0.23571694713930952,0.006265653933614572,0.00023545392292283437,0.015521037120107047,0.022057470313833556,-0.022057470313833556,0.015169986457787072,0.2408160693571334
Long-only Tangency Portfolio,AMZN,0.0,0.01938256328166102,0.3076886532854822,0.008450639704958206,0.0,0.0,0.0,0.0,0.015169986457787072,0.2408160693571334
